method,param_name,param_value,auroc,auprc,time_sec
DensMAP,lambda_neighbors,0.1_50,0.5249648694921825,0.08413221369506574,20.420965909957886
DensMAP,lambda_neighbors,0.1_70,0.45862877955808246,0.07764966013761973,24.737258911132812
DensMAP,lambda_neighbors,0.1_90,0.428446827755524,0.07105764761629921,28.76959800720215
DensMAP,lambda_neighbors,0.25_10,0.637608621914976,0.13138541108405014,11.639969110488892
DensMAP,lambda_neighbors,0.25_15,0.6094355698410647,0.12400479349675653,12.934197902679443
DensMAP,lambda_neighbors,0.25_30,0.5756608169660162,0.09316289233054788,16.455556869506836
DensMAP,lambda_neighbors,0.25_50,0.5725283466856184,0.09317568064644957,20.336691856384277
DensMAP,lambda_neighbors,0.25_70,0.579555457746479,0.10134300098723587,24.640331983566284
DensMAP,lambda_neighbors,0.25_90,0.5357765861222381,0.0857890529534755,28.668004035949707
DensMAP,lambda_neighbors,0.5_10,0.6541310650600851,0.13617162399797852,11.90880823135376
DensMAP,lambda_neighbors,0.5_15,0.6360388535340484,0.13435697400283048,13.090787887573242
DensMAP,lambda_neighbors,0.5_30,0.5805811070551751,0.1038123906751525,16.778629779815674
DensMAP,lambda_neighbors,0.5_50,0.56968560214498,0.09422683843461915,20.367913961410522
DensMAP,lambda_neighbors,0.5_70,0.6033038829306112,0.10334265605351553,24.41000199317932
DensMAP,lambda_neighbors,0.5_90,0.5948806370332085,0.10291704883797068,28.951066970825195
DensMAP,lambda_neighbors,1.0_10,0.6589837188267217,0.13236422928067745,11.517376899719238
DensMAP,lambda_neighbors,1.0_15,0.6472008657449283,0.14551000532616024,13.025432825088501
