method,param_name,param_value,auroc,auprc,time_sec
DensMAP,lambda_neighbors,1.0_30,0.7223048616344421,0.41255478962145264,11.494968175888062
DensMAP,lambda_neighbors,1.0_50,0.668192840083833,0.37043780956671435,15.009401082992554
DensMAP,lambda_neighbors,1.0_70,0.6054737440996397,0.33919963855560975,18.72826910018921
DensMAP,lambda_neighbors,1.0_90,0.6148187150618062,0.36430658953522815,21.811748027801514
DensMAP,lambda_neighbors,2.0_10,0.7294762129716071,0.42836563160114816,6.558897018432617
DensMAP,lambda_neighbors,2.0_15,0.6765248143190825,0.37954645836430123,7.864526033401489
DensMAP,lambda_neighbors,2.0_30,0.713639674041414,0.4019132885024105,11.257862091064453
DensMAP,lambda_neighbors,2.0_50,0.6999235624491511,0.384244098785099,14.919161081314087
DensMAP,lambda_neighbors,2.0_70,0.6113330971314594,0.34535897760907475,18.419372081756592
DensMAP,lambda_neighbors,2.0_90,0.6195155705774948,0.36361723981975547,21.72473120689392
DensMAP,lambda_neighbors,4.0_10,0.7328413866924615,0.44425974896093195,6.462544918060303
DensMAP,lambda_neighbors,4.0_15,0.659259816437401,0.36135743952247534,8.228441715240479
DensMAP,lambda_neighbors,4.0_30,0.6901174354475275,0.38913041262824133,11.430282831192017
DensMAP,lambda_neighbors,4.0_50,0.6627669924752831,0.362002180757644,14.945611000061035
DensMAP,lambda_neighbors,4.0_70,0.6352185429718695,0.3555903655025073,18.442462921142578
DensMAP,lambda_neighbors,4.0_90,0.617490983087196,0.35269513404635516,21.838814973831177
DensMAP,lambda_neighbors,8.0_10,0.7242640718203666,0.42865378016966493,6.35301399230957
DensMAP,lambda_neighbors,8.0_15,0.6810114782862993,0.38185082218639566,7.875398874282837
DensMAP,lambda_neighbors,8.0_30,0.6847344697267932,0.3766806422101661,11.263804197311401
DensMAP,lambda_neighbors,8.0_50,0.6831797083844168,0.3675137309985441,15.032708168029785
DensMAP,lambda_neighbors,8.0_70,0.6243406031021179,0.349819316021424,18.458887815475464
DensMAP,lambda_neighbors,8.0_90,0.6164191702190678,0.34414856636911634,21.749819040298462
Density t-SNE,k_lambda,10_0.0001,0.6919688550957743,0.3629603498723775,43.389209032058716
Density t-SNE,k_lambda,10_0.0002,0.7207672061817404,0.3853858032990102,42.278692960739136
Density t-SNE,k_lambda,10_0.0005,0.6794578885802018,0.37552890545829803,41.88514280319214
Density t-SNE,k_lambda,10_0.001,0.5500075453376374,0.28460827464557853,43.04942727088928
Density t-SNE,k_lambda,10_0.002,0.5514692787594527,0.2821254957671384,42.339314222335815
Density t-SNE,k_lambda,10_0.005,0.56940468692004,0.2955070516557385,42.51319694519043
Density t-SNE,k_lambda,10_0.01,0.5767627970800949,0.2974092378106098,41.991674184799194
Density t-SNE,k_lambda,10_0.02,0.5806460683635708,0.2994558605924552,43.0474648475647
Density t-SNE,k_lambda,10_0.05,0.5784330817595914,0.2967335947146542,42.17706918716431
Density t-SNE,k_lambda,10_0.1,0.5785774273491776,0.29796540756603773,42.37974500656128
Density t-SNE,k_lambda,10_0.2,0.5789380569958871,0.2984427934707167,43.20062804222107
Density t-SNE,k_lambda,10_0.5,0.5794549829222296,0.2982627360160366,42.31986093521118
Density t-SNE,k_lambda,30_0.0001,0.6097045227034992,0.34961692363513686,43.11147499084473
Density t-SNE,k_lambda,30_0.0002,0.6484786537243037,0.3889638637905316,43.07286810874939
Density t-SNE,k_lambda,30_0.0005,0.6759129858541322,0.4303131055296058,42.83277702331543
Density t-SNE,k_lambda,30_0.001,0.6663894575230297,0.42858372036108444,43.80272197723389
Density t-SNE,k_lambda,30_0.002,0.6719481686856303,0.4041081269035779,43.92753887176514
Density t-SNE,k_lambda,30_0.005,0.6507385057794475,0.3504776129257432,43.923696994781494
Density t-SNE,k_lambda,30_0.01,0.6271867419513274,0.32963885638128476,43.57866406440735
Density t-SNE,k_lambda,30_0.02,0.5986550552824862,0.3226979367918123,43.245468854904175
Density t-SNE,k_lambda,30_0.05,0.5864100502022713,0.3212042358754295,42.812397956848145
Density t-SNE,k_lambda,30_0.1,0.5939209417331218,0.33060006475104503,43.54182457923889
Density t-SNE,k_lambda,30_0.2,0.5981632023725166,0.3322053353675374,43.025245904922485
Density t-SNE,k_lambda,30_0.5,0.613831025678518,0.34007621130743154,42.92235016822815
Density t-SNE,k_lambda,70_0.0001,0.43414326206035525,0.25143928701160706,45.213736057281494
Density t-SNE,k_lambda,70_0.0002,0.4356820891493358,0.23706272897491182,45.05098009109497
Density t-SNE,k_lambda,70_0.0005,0.4242040371774251,0.24533519535488332,44.75063490867615
Density t-SNE,k_lambda,70_0.001,0.4666327360800237,0.2789397408487466,44.81617522239685
Density t-SNE,k_lambda,70_0.002,0.49586224931670175,0.2802163153349584,44.33250379562378
Density t-SNE,k_lambda,70_0.005,0.48831995793357097,0.2797233631897365,44.828155279159546
Density t-SNE,k_lambda,70_0.01,0.538110047577806,0.30775355716999686,44.329914808273315
Density t-SNE,k_lambda,70_0.02,0.5711330847589804,0.3229630840767933,44.78626775741577
Density t-SNE,k_lambda,70_0.05,0.5984762635862944,0.3531095057025639,46.228328227996826
Density t-SNE,k_lambda,70_0.1,0.6322404778776325,0.3659347275882575,44.68247199058533
Density t-SNE,k_lambda,70_0.2,0.6572544437820793,0.3785996884326215,44.694863080978394
Density t-SNE,k_lambda,70_0.5,0.6633851477761405,0.3859520576647082,45.07521200180054
Density t-SNE,k_lambda,150_0.0001,0.4150387952204738,0.22903423845340787,47.36923027038574
